experiment,approach,firstcross1,firstcross2,firstcross5,kl,ncrosses,rmse
fut_ESM1-2-LR_SSP126_constVolc,inverse_variance,0.1933235991405137,0.380216728418869,0.7858409229836669,0.6217312203601928,1.5,0.039793504476862446
fut_ESM1-2-LR_SSP126_constVolc,sharpened_blended,0.16500818238772133,0.3204861603352495,0.6772976029642457,0.6589555299572825,1.0,0.039609966395631635
fut_ESM1-2-LR_SSP245_constVolc,inverse_variance,0.5313527348290562,0.8263697013809321,0.9907963193679925,0.56817852184099,1.02,0.040104308933595914
fut_ESM1-2-LR_SSP245_constVolc,sharpened_blended,0.3245226361687685,0.6134536614286038,0.9255173067574135,0.5788355564590406,1.0,0.04013419922598708
fut_ESM1-2-LR_SSP370_constVolc,inverse_variance,0.5765322411216887,0.8451869888639736,0.9999982739834391,0.7567669848434291,1.06,0.035317593409777796
fut_ESM1-2-LR_SSP370_constVolc,sharpened_blended,0.1545986756797045,0.3417971301723417,0.8235938276670208,0.5714118685025965,1.0,0.057196022704550785
fut_NorESM_RCP45_Volc,inverse_variance,0.24388758087322412,0.47236125744423013,0.8807112622717171,0.853570582591042,1.0666666666666667,0.07353978497005499
fut_NorESM_RCP45_Volc,sharpened_blended,0.2420324773545404,0.4600807888726578,0.8425310781554731,0.7892206293498233,1.05,0.05574964058053757
fut_NorESM_RCP45_VolcConst,inverse_variance,0.31913964497707686,0.5680261755303235,0.960329935113067,0.7817671541816422,1.0333333333333334,0.054092470432414816
fut_NorESM_RCP45_VolcConst,sharpened_blended,0.3415831530726515,0.6344907717220243,0.9887506666501645,0.7176241681506167,1.0,0.04245127426406128
